link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//norway/kristiansund-bk-vs-aalesunds-fk-h2h-stats#830531,11,Kristiansund,Aalesund,Home,9,16,0.0,0.0,8,16,0.0,0.0,7,9,0.0,0.0,Lose,Win,Win,Draw,Draw,Win,Win,Draw,Draw,Win,0.0,1.0,0.0,2.29,3.27,3.12
https://footystats.org//norway/sk-brann-vs-viking-fk-h2h-stats#830513,9,Brann,Viking,Home,4,14,1.0,0.0,6,15,0.0,0.0,3,14,1.0,0.0,Lose,Win,Draw,Draw,Draw,Win,Win,Lose,Lose,Draw,0.36,0.28,0.36,1.99,3.60,3.52
https://footystats.org//norway/odds-bk-vs-sandefjord-fotball-h2h-stats#830506,8,Odd,Sandefjord,Away,8,10,0.0,0.0,8,10,0.0,0.0,8,10,0.0,0.0,Win,Win,Lose,Draw,Win,Lose,Win,Win,Draw,Draw,0.5,0.5,0.0,1.79,3.70,4.31
https://footystats.org//norway/rosenborg-bk-vs-kristiansund-bk-h2h-stats#830507,8,Rosenborg,Kristiansund,Draw,9,5,0.0,0.0,9,5,0.0,0.0,9,5,0.0,0.0,Win,Lose,Win,Lose,Win,Lose,Lose,Lose,Draw,Win,0.5,0.5,0.0,1.61,3.90,5.37
https://footystats.org//norway/viking-fk-vs-fk-bodo-glimt-h2h-stats#830512,8,Viking,FK Bodo - Glimt,Away,15,3,0.0,0.0,15,3,0.0,0.0,15,3,0.0,0.0,Draw,Win,Win,Win,Win,Lose,Lose,Draw,Draw,Draw,0.5,0.0,0.5,2.18,3.57,3.08
https://footystats.org//norway/fk-haugesund-vs-molde-fk-h2h-stats#1003872,7,Haugesund,Molde,Away,10,2,0.33,0.83,8,2,0.33,1.0,9,2,0.33,0.67,Win,Draw,Lose,Lose,Win,Draw,Win,Win,Win,Lose,0.22,0.27,0.5,3.86,3.76,1.85
https://footystats.org//norway/rosenborg-bk-vs-stromsgodset-if-h2h-stats#1003873,7,Rosenborg,Strømsgodset,Home,7,5,0.33,0.33,12,5,0.0,0.33,4,7,0.67,0.33,Draw,Lose,Draw,Win,Lose,Lose,Win,Draw,Win,Lose,0.53,0.35,0.12,1.34,5.10,8.01
https://footystats.org//norway/viking-fk-vs-odds-bk-h2h-stats#1003874,7,Viking,Odd,Away,12,11,0.17,0.33,8,9,0.33,0.25,16,10,0.0,0.5,Win,Draw,Lose,Draw,Win,Win,Lose,Lose,Lose,Draw,0.44,0.25,0.31,2.19,3.55,3.06
https://footystats.org//norway/kristiansund-bk-vs-stabaek-fotball-h2h-stats#1003875,7,Kristiansund,Stabæk,Away,4,9,0.33,0.33,7,3,0.5,0.5,5,15,0.25,0.0,Draw,Win,Lose,Win,Win,Lose,Draw,Draw,Win,Win,0.5,0.12,0.38,1.7,3.91,4.52
https://footystats.org//norway/sarpsborg-08-ff-vs-ik-start-h2h-stats#1003876,7,Sarpsborg 08,Start,Home,14,15,0.17,0.0,16,13,0.0,0.0,11,14,0.33,0.0,Lose,Lose,Lose,Draw,Win,Lose,Draw,Win,Lose,Win,0.58,0.16,0.25,1.57,3.90,5.84
https://footystats.org//norway/aalesunds-fk-vs-fk-bodo-glimt-h2h-stats#1003877,7,Aalesund,FK Bodo - Glimt,Away,16,2,0.0,1.0,15,1,0.0,1.0,13,2,0.0,1.0,Lose,Draw,Lose,Win,Win,Win,Win,Win,Lose,Lose,0.67,0.16,0.17,6.4,5.26,1.39
https://footystats.org//norway/mjondalen-if-vs-valerenga-fotball-h2h-stats#1003878,7,Mjøndalen,Vålerenga,Away,8,6,0.33,0.33,12,5,0.5,0.33,6,7,0.25,0.33,Lose,Win,Win,Win,Draw,Draw,Lose,Win,Lose,Draw,0.25,0.0,0.75,2.8,3.25,2.5
https://footystats.org//norway/sk-brann-vs-sandefjord-fotball-h2h-stats#1003879,7,Brann,Sandefjord,Home,5,13,0.5,0.17,11,14,0.5,0.0,3,12,0.5,0.33,Lose,Win,Lose,Win,Draw,Lose,Lose,Win,Lose,Win,0.83,0.16,0.0,1.54,4.03,5.92
https://footystats.org//norway/ik-start-vs-viking-fk-h2h-stats#1003864,6,Start,Viking,Draw,14,12,0.0,0.2,15,7,0.0,0.33,12,16,0.0,0.0,Lose,Lose,Draw,Win,Win,Lose,Lose,Win,Win,Lose,0.2,0.3,0.5,2.62,3.55,2.49
https://footystats.org//norway/valerenga-fotball-vs-aalesunds-fk-h2h-stats#1003865,6,Vålerenga,Aalesund,Draw,8,15,0.4,0.0,5,14,0.5,0.0,7,14,0.33,0.0,Win,Draw,Lose,Win,Lose,Draw,Lose,Win,Win,Draw,0.43,0.14,0.43,1.62,4.09,4.96
https://footystats.org//norway/molde-fk-vs-mjondalen-if-h2h-stats#1003866,6,Molde,Mjøndalen,Home,2,6,0.8,0.4,3,10,1.0,0.5,2,4,0.67,0.33,Win,Win,Win,Win,Win,Win,Draw,Draw,Lose,Lose,1.0,0.0,0.0,1.42,4.73,6.67
https://footystats.org//norway/fk-bodo-glimt-vs-sk-brann-h2h-stats#1003867,6,FK Bodo - Glimt,Brann,Home,1,3,1.0,0.6,2,9,1.0,0.5,1,3,1.0,0.67,Win,Win,Win,Draw,Draw,Win,Draw,Win,Lose,Lose,0.25,0.25,0.5,1.5,4.63,5.53
https://footystats.org//norway/stromsgodset-if-vs-kristiansund-bk-h2h-stats#1003868,6,Strømsgodset,Kristiansund,Draw,8,4,0.4,0.4,6,5,0.5,0.5,6,5,0.33,0.33,Draw,Win,Win,Draw,Draw,Win,Draw,Draw,Lose,Lose,0.33,0.0,0.67,2.73,3.58,2.37
https://footystats.org//norway/sandefjord-fotball-vs-sarpsborg-08-ff-h2h-stats#1003869,6,Sandefjord,Sarpsborg 08,Away,13,16,0.2,0.0,14,16,0.0,0.0,10,16,0.33,0.0,Lose,Draw,Win,Win,Win,Lose,Lose,Draw,Lose,Draw,0.38,0.12,0.5,3.44,3.20,2.16
https://footystats.org//norway/odds-bk-vs-fk-haugesund-h2h-stats#1003870,6,Odd,Haugesund,Draw,10,9,0.4,0.4,11,8,0.33,0.33,8,11,0.5,0.5,Lose,Win,Lose,Win,Win,Win,Lose,Draw,Draw,Win,0.56,0.11,0.33,2.47,3.26,2.84
https://footystats.org//norway/stabaek-fotball-vs-rosenborg-bk-h2h-stats#1003871,6,Stabæk,Rosenborg,Away,7,11,0.4,0.2,1,12,0.67,0.0,14,9,0.0,0.5,Win,Win,Draw,Win,Draw,Win,Lose,Draw,Draw,Draw,0.28,0.16,0.56,3.05,3.36,2.28
https://footystats.org//norway/odds-bk-vs-fk-bodo-glimt-h2h-stats#1003856,5,Odd,FK Bodo - Glimt,Away,7,1,0.5,1.0,7,1,0.5,1.0,6,2,0.5,1.0,Win,Lose,Win,Win,Lose,Win,Win,Lose,Lose,Draw,0.7,0.1,0.2,3.16,3.63,2.12
https://footystats.org//norway/viking-fk-vs-sandefjord-fotball-h2h-stats#1003857,5,Viking,Sandefjord,Home,15,11,0.0,0.25,13,12,0.0,0.0,16,8,0.0,0.5,Draw,Lose,Draw,Win,Win,Lose,Win,Lose,Win,Win,0.33,0.33,0.33,1.64,3.98,4.94
https://footystats.org//norway/fk-haugesund-vs-ik-start-h2h-stats#1003858,5,Haugesund,Start,Home,12,13,0.25,0.0,10,15,0.0,0.0,10,12,0.5,0.0,Draw,Lose,Lose,Win,Win,Draw,Win,Lose,Win,Lose,0.75,0.0,0.25,1.76,3.78,4.3
https://footystats.org//norway/aalesunds-fk-vs-mjondalen-if-h2h-stats#1003859,5,Aalesund,Mjøndalen,Away,14,8,0.0,0.25,14,9,0.0,0.5,14,11,0.0,0.0,Draw,Lose,Win,Win,Win,Draw,Draw,Lose,Lose,Draw,0.75,0.0,0.25,2.84,3.32,2.43
https://footystats.org//norway/stabaek-fotball-vs-stromsgodset-if-h2h-stats#1003860,5,Stabæk,Strømsgodset,Home,9,4,0.25,0.5,3,5,0.5,0.5,13,4,0.0,0.5,Win,Draw,Win,Draw,Draw,Win,Draw,Win,Lose,Draw,0.53,0.17,0.29,1.93,3.56,3.78
https://footystats.org//norway/rosenborg-bk-vs-valerenga-fotball-h2h-stats#1003861,5,Rosenborg,Vålerenga,Draw,10,6,0.25,0.5,11,4,0.0,0.5,7,9,0.5,0.5,Lose,Draw,Win,Lose,Win,Lose,Win,Lose,Draw,Draw,0.63,0.26,0.11,1.73,3.76,4.55
https://footystats.org//norway/kristiansund-bk-vs-molde-fk-h2h-stats#1003862,5,Kristiansund,Molde,Draw,3,2,0.5,1.0,8,3,1.0,1.0,4,2,0.33,1.0,Win,Lose,Win,Win,Draw,Win,Win,Win,Lose,Draw,0.43,0.0,0.57,3.66,3.96,1.86
https://footystats.org//norway/sarpsborg-08-ff-vs-sk-brann-h2h-stats#1003863,5,Sarpsborg 08,Brann,Away,16,8,0.0,0.5,16,9,0.0,0.5,15,5,0.0,0.5,Lose,Lose,Draw,Win,Draw,Draw,Win,Lose,Lose,Draw,0.33,0.16,0.5,2.66,3.17,2.68
https://footystats.org//norway/mjondalen-if-vs-sarpsborg-08-ff-h2h-stats#830479,4,Mjøndalen,Sarpsborg 08,Home,9,14,0.0,0.0,7,14,0.0,0.0,8,13,0.0,0.0,Win,Win,Draw,Draw,Lose,Draw,Lose,Draw,Win,Lose,0.11,0.44,0.44,3.26,3.14,2.28
